""	"QC1_001"	"HU_neg_017"	"HU_neg_018"	"HU_neg_020"	"HU_neg_021"	"HU_neg_027"	"HU_neg_028"	"HU_neg_032"	"HU_neg_034"	"QC1_002"	"HU_neg_037"	"HU_neg_041"	"HU_neg_043"	"HU_neg_044"	"HU_neg_047"	"HU_neg_048"	"QC1_003"	"HU_neg_049"	"HU_neg_050"	"HU_neg_051"	"HU_neg_052"	"HU_neg_055"	"HU_neg_060"	"HU_neg_061"	"QC1_004"	"HU_neg_064"	"HU_neg_065"	"HU_neg_066"	"HU_neg_068"	"HU_neg_072"	"HU_neg_077"	"HU_neg_078"	"QC1_005"	"HU_neg_079"	"HU_neg_083"	"HU_neg_086"	"HU_neg_088"	"HU_neg_089"	"HU_neg_090"	"HU_neg_091"	"HU_neg_093"	"HU_neg_094"	"QC1_006"	"HU_neg_099"	"HU_neg_100"	"HU_neg_101"	"HU_neg_105"	"HU_neg_107"	"HU_neg_108"	"HU_neg_109"	"HU_neg_110"	"QC1_007"	"HU_neg_116"	"HU_neg_118"	"HU_neg_123"	"HU_neg_125"	"HU_neg_126"	"HU_neg_127"	"QC1_008"	"HU_neg_130"	"HU_neg_131"	"HU_neg_132"	"HU_neg_133"	"HU_neg_134"	"HU_neg_138"	"QC1_009"	"HU_neg_144"	"HU_neg_148"	"HU_neg_149"	"HU_neg_150"	"QC1_010"	"HU_neg_152"	"HU_neg_154"	"HU_neg_156"	"HU_neg_157"	"HU_neg_158"	"HU_neg_163"	"HU_neg_170"	"HU_neg_171"	"QC1_011"	"HU_neg_172"	"HU_neg_173"	"HU_neg_174"	"HU_neg_175"	"HU_neg_179"	"HU_neg_180"	"HU_neg_181"	"HU_neg_182"	"QC1_012"	"HU_neg_184"	"HU_neg_185"	"HU_neg_186"	"HU_neg_189"	"HU_neg_192"	"HU_neg_196"	"QC1_013"	"HU_neg_200"	"HU_neg_201"	"HU_neg_202"	"HU_neg_204"	"HU_neg_207"	"HU_neg_208"	"HU_neg_209"	"QC1_014"	"QC1_001_b2"	"HU_neg_022_b2"	"HU_neg_076_b2"	"HU_neg_166_b2"	"HU_neg_114_b2"	"HU_neg_190_b2"	"HU_neg_139_b2"	"HU_neg_096_b2"	"HU_neg_058_b2"	"HU_neg_031_b2"	"QC1_002_b2"	"HU_neg_039_b2"	"HU_neg_087_b2"	"HU_neg_143_b2"	"HU_neg_162_b2"	"HU_neg_102_b2"	"HU_neg_188_b2"	"HU_neg_095_b2"	"HU_neg_062_b2"	"QC1_003_b2"	"HU_neg_063_b2"	"HU_neg_011_b2"	"HU_neg_074_b2"	"HU_neg_122_b2"	"HU_neg_142_b2"	"HU_neg_030_b2"	"HU_neg_187_b2"	"HU_neg_167_b2"	"HU_neg_113_b2"	"QC1_004_b2"	"HU_neg_081_b2"	"HU_neg_014_b2"	"HU_neg_206_b2"	"HU_neg_119_b2"	"HU_neg_033_b2"	"HU_neg_067_b2"	"HU_neg_140_b2"	"HU_neg_164_b2"	"HU_neg_193_b2"	"HU_neg_112_b2"	"QC1_005_b2"	"HU_neg_097_b2"	"HU_neg_056_b2"	"HU_neg_195_b2"	"HU_neg_135_b2"	"HU_neg_159_b2"	"HU_neg_070_b2"	"HU_neg_038_b2"	"HU_neg_026_b2"	"QC1_006_b2"	"HU_neg_098_b2"	"HU_neg_115_b2"	"HU_neg_137_b2"	"HU_neg_019_b2"	"HU_neg_073_b2"	"HU_neg_168_b2"	"HU_neg_191_b2"	"HU_neg_040_b2"	"HU_neg_046_b2"	"QC1_007_b2"	"HU_neg_103_b2"	"HU_neg_015_b2"	"HU_neg_053_b2"	"HU_neg_121_b2"	"HU_neg_183_b2"	"HU_neg_199_b2"	"HU_neg_042_b2"	"HU_neg_075_b2"	"QC1_008_b2"	"HU_neg_203_b2"	"HU_neg_024_b2"	"HU_neg_082_b2"	"HU_neg_169_b2"	"HU_neg_129_b2"	"HU_neg_057_b2"	"HU_neg_035_b2"	"HU_neg_194_b2"	"HU_neg_145_b2"	"QC1_009_b2"	"HU_neg_177_b2"	"HU_neg_025_b2"	"HU_neg_080_b2"	"HU_neg_117_b2"	"HU_neg_136_b2"	"HU_neg_197_b2"	"HU_neg_036_b2"	"HU_neg_054_b2"	"HU_neg_085_b2"	"QC1_010_b2"	"HU_neg_160_b2"	"HU_neg_092_b2"	"HU_neg_023_b2"	"HU_neg_124_b2"	"HU_neg_147_b2"	"HU_neg_205_b2"	"HU_neg_084_b2"	"HU_neg_120_b2"	"HU_neg_198_b2"	"QC1_011_b2"	"HU_neg_045_b2"	"HU_neg_029_b2"	"HU_neg_069_b2"	"HU_neg_155_b2"	"HU_neg_106_b2"	"HU_neg_146_b2"	"QC1_012_b2"
"2-Isopropylmalic acid"	3454436	85570	5185354	768813	811585	629992	184654	130644	12745703	3171325	34949	101341	1162245	633029	1205837	217339	3051202	559468	12353676	26708	683830	68196	10084334	1419775	2784483	551247	18012335	610982	474097	1737802	823040	10194318	2715478	667071	5804019	1072206	1640035	702597	888833	20006253	936924	4236792	2775358	1435485	323503	249063	255578	1335088	329814	128872	282063	2530336	141280	73415	293779	570529	4727215	2378852	2230139	2741088	3913115	4420164	273214	329937	1298791	2058717	1943560	6076204	491506	201446	1858501	398550	546246	205998	270047	2450613	729311	2181006	2467710	1806793	517380	2879039	510244	4393232	103431	305884	330211	224428	1594132	143053	251745	266132	708108	1013356	674786	1458226	496794	474363	375497	684301	665478	1166802	1617420	1178598	7081822	4739444	1241927	2568237	2543303	3559207	8818294	3224	4774112	32246592	7263868	2677701	499455	4297787	675103	20655272	2307693	1654236	18080860	6979670	9996765	1007281	919441	13268847	3662733	3447668	109807	590328	1578174	6926178	11960517	1487469	10079986	483011	1634611	644542	229454	493678	2758609	5983950	6445722	483373	5116692	4341054	2652660	3285128	9214051	1725760	380224	5878072	9679727	1935469	3354872	3491777	3903044	3098324	3901596	16486928	7354595	5928774	6276978	1069606	431358	423052	3159131	1092630	1042776	1771261	4726444	1151587	1737898	8026262	1297907	7275379	6723651	6868065	2627565	5745052	5306284	2535047	5307520	269522	21581115	391810	4323746	3412789	1672193	4095309	3737559	1781359	1792450	291267	2119319	26261958	5040629	529740	362314	1887159	3808365	115792	12919439	1980086	743883	5533137	1538355	2777958
"2-Methylhippuric acid"	621151	80645	573713	111848	293814	76847	290283	343653	683425	587838	245134	119605	323874	38406	208879	306433	585745	329741	279165	366769	166036	307176	636173	106612	581185	215889	394889	412045	507650	2666950	1006511	187851	574698	572939	794860	1141790	502390	264957	349081	453608	84629	208953	550171	616543	503743	54620	132482	842261	72838	24538	150032	494707	159229	62486	595102	209078	472828	332880	451393	60479	946498	184124	670595	148975	197468	445045	3412830	570747	486923	194875	459622	338440	101682	43201	205063	1189855	2676585	1922112	832979	375494	919256	554120	738902	2581880	230302	149233	110210	64773	376037	631955	158110	226740	943959	143909	409349	344078	239579	203297	229976	278022	477396	71341	189817	272110	966828	422417	214842	1194887	421456	1901281	258409	607.5	839552	1106235	878410	491735	4269851	283059	519567	810110	81046	656910	571446	839770	767967	832013	160535	583306	882564	1492712	61676	840394	321103	823730	899697	139924	545929	1294920	1130207	825318	236651	375197	251330	1506027	770762	751443	358250	183505	466680	234995	363012	22319	266856	754857	1427392	226903	284836	209380	1195077	4620106	222481	1374989	411419	729779	435834	640528	260978	242145	1428986	620975	355664	302626	731010	577113	269282	1025669	1939260	299290	550611	613659	640041	414264	656206	624452	300278	471693	705508	736267	605046	661164	776176	307460	629006	2060619	411678	93072	633718	338884	264054	157504	676603	1805777	566963	910158	108224	250755	387572	303497	125823	451727
"3,3-Dimethylglutaric acid"	633764	169417	1097194	137695	532215	243814	584586	305076	276440	523362	253135	123228	623786	98089	249998	584445	475211	753698	506914	107429	525534	281981	534822	400179	481499	101331	497835	438573	443635	380511	301399	264479	423040	291040	255954	1394672	493667	249567	405856	254436	149869	293702	385411	410696	369906	338522	388316	573223	53281	108589	158842	399816	153132	156110	160848	255803	189678	370372	309395	212299	207533	512212	438223	385554	829995	286232	425090	180479	491797	70908	238517	194433	131516	337338	98943	160041	200308	305460	160163	222373	119851	75653	182274	219977	185388	85549	61233	89557	193029	86136	34164	56363	184979	719504	419703	161231	71267	196365	329661	290517	111862	61707	285060	134375	376727	558206	452456	684769	811993	1237434	2024650	59378	843116	425348	569489	680002	462590	261614	1086047	2150276	170780	587597	1690881	619922	1288773	511404	593075	1177122	476312	519660	101142	138098	693096	681209	1126823	499025	1237860	2135820	828884	454240	997945	166067	1676554	1730833	558241	229712	697829	170024	965976	338241	704863	94190	155578	629936	292129	893964	472098	347876	332458	146373	903792	728107	421968	607762	291200	341419	148894	171930	164280	253783	447534	122062	219240	172104	195005	269045	140185	268742	203012	672259	348201	328573	202060	290122	245991	84278	292948	65677	236954	329675	185635	156592	211279	289833	106413	106902	198000	322821	208822	146461	124009	160929	167014	57739	225505	170062	108220	64332	287259	165915
"3,4-Dihydroxybenzeneacetic acid"	574588	126209	629390	210082	284226	155289	1184857	267608	243456	486595	118448	210008	397049	127929	423165	1214357	483679	256079	347518	179395	387830	106911	665572	155955	440361	85137	363815	658368	494446	463381	526259	637663	491067	286528	800938	621099	257059	420195	699993	243294	222680	149091	512134	899765	487481	168152	369662	186366	37410	144663	214175	416005	218458	230887	437560	216460	932811	358106	467566	294058	75641	315034	245159	172601	618851	371232	666430	298732	224789	300540	301589	446515	220136	199283	447421	173316	2037260	321313	218450	410212	236387	251207	757149	1042247	384808	194439	38658	140794	262961	339375	70419	225409	404943	252796	356605	322331	118073	333314	1101873	171165	219999	81120	539796	255130	791149	660956	341904	1567870	1327941	712706	674132	607.5	617537	655997	727450	935308	541886	864815	2729263	31117	8699	438681	1470543	692208	1477338	85072	1251052	833682	817020	587321	5039	120855	33258	618630	1835142	376618	525836	1682514	1232387	441300	212594	357377	912678	275265	617032	222079	568340	433492	688010	379197	301587	4586	607.5	576374	351101	1793570	434035	4703	118688	116337	437463	448917	595367	551755	312709	263131	118862	32997	409710	611048	837015	442475	417624	374604	171133	257577	150829	329983	427291	279155	446230	15583	432252	239956	147483	192023	654753	65681	53180	585086	403571	740845	422602	1639724	294225	37612	273156	546205	770099	72131	378102	349769	349563	27926	378938	607.5	15250	260854	288504	252000
"3,5-dihydroxybenzoic acid/3,4-dihydroxybenzoic acid"	322598	76041	194525	60770	213511	51789	155677	205114	80508	326651	184991	75490	371799	133502	377254	361928	346709	119259	336237	123261	746309	23063	2066542	106915	341485	30184	1339222	211981	189401	506194	198940	278067	318229	339908	395206	111498	166786	185897	542872	383644	202077	99683	368222	401049	116331	144403	483086	139672	21277	235333	145924	345738	182266	133576	288552	123982	94277	162040	297121	406774	591734	149165	128405	660315	172442	302315	461798	254750	343418	412046	319471	662343	425686	173169	209626	261423	105458	329877	93233	270573	974000	477826	301792	1581816	205248	576789	65795	180781	283948	165592	48521	188550	176242	80682	491810	214869	572424	125482	730003	257155	145693	44830	374970	229900	717661	1074674	1053130	470247	521228	141457	315018	607.5	375766	215001	578705	1202624	423604	418645	200320	226647	91793	2799516	350468	563598	850445	873695	711073	535147	292570	277092	120513	522397	495888	530745	719010	176789	202170	612553	567576	326593	62121	398881	424545	332295	500045	545217	983058	4041853	392344	912560	608316	45829	104453	529543	159508	369095	1460098	263150	44633	329668	2241426	377053	213404	457278	300502	527770	37907	77360	1103612	1302545	1060525	288958	528834	593810	295636	85515	535728	257044	347618	354228	914941	3320840	466768	134035	159685	1163397	267130	80379	648474	1027243	192482	1859746	459580	638605	388737	67230	639054	449460	395205	1087405	664116	493277	470489	113896	147651	266705	922588	384589	582386	398914
"3,7-Dimethyluric acid"	747111	132210	302456	119680	523381	25631	311985	240382	272370	710981	506.5	203894	2796935	506.5	506.5	825300	764841	997244	1181448	506.5	1195976	506.5	840820	506.5	675346	286764	506.5	730097	1356042	543220	483490	280240	627013	469435	637708	3308967	661788	1382414	758167	899203	153385	493645	640918	1199885	744303	32536	67392	1163589	47288	16167	51456	641085	292124	134648	111974	230635	623228	210981	583816	150718	274060	201329	611937	318652	2882448	525757	2240133	429700	1830200	111722	462931	793540	448705	369586	128803	62834	199352	145466	116225	426997	378684	55127	722850	1088371	946208	103367	59135	60952	444755	69344	8170	335819	329954	807789	1297980	319721	721948	1432945	157605	330435	177253	58396	248661	298419	1198343	2990133	3007328	2211039	2275944	1232879	1306785	607.5	1340386	1491497	1383251	7626498	561214	1043718	754326	1066984	87553	1332514	6885438	1409603	940022	1097478	341960	4183801	529091	2118345	465776	266454	709026	1290204	453619	125443	1751723	480027	4382126	120404	361744	582154	916286	1646763	1149840	244615	695215	217962	2786697	3178144	154683	23837	1172846	1216139	463226	2119886	333539	2375022	225204	1897492	369852	596586	1172643	909821	1299489	520981	75183	1022220	1243021	2587846	2060262	2138614	1063708	229744	188650	1008907	223690	3329536	455120	486754	1802765	5603827	976508	1040916	1154191	2696195	474992	224476	429688	1015476	312237	2683955	888410	44435	154754	357451	649277	459104	282643	174424	128223	376053	866228	557089	1101878	1126394	153400	767169	534183	803526
"3-Hydroxybenzyl alcohol"	367901	99816	468838	160513	220822	136609	893314	171407	183874	449253	101919	166678	326072	118876	348835	947611	416743	187758	287188	158534	363846	97960	577618	134379	404854	83281	312946	566822	425223	376366	411516	514644	443392	243097	712353	481211	225251	350556	570712	233763	208607	129634	432753	293158	469416	152201	351214	150593	35636	127070	198899	398522	229431	211750	412147	209557	824749	373576	398398	281716	89270	342213	237216	169001	621880	365917	300892	322563	232937	198522	367335	423173	265502	248427	498023	138340	741949	471317	220536	337500	149401	149054	586699	352418	431963	201341	44561	98472	299082	145637	83325	256957	308099	260863	399995	275076	150145	399178	1700263	208575	270998	134175	600863	245502	650957	607290	344037	1227529	1072694	576358	501563	607.5	502469	591694	628810	843246	499456	685211	2294708	25129	607.5	396924	1183224	585823	1211863	95856	1144957	787735	689605	479871	607.5	73159	21384	617342	1458756	347990	445231	1570717	1136540	395902	148198	309567	739570	265275	566263	220112	529228	346333	620592	381877	266345	607.5	607.5	557575	279088	1668394	414413	607.5	82640	96029	371246	387503	604542	487548	313124	271980	77109	607.5	327966	684942	1063651	397266	470555	381094	163296	311328	170466	373177	511493	294494	457952	53349	455759	235010	231678	234265	877479	85416	91934	643917	413352	960793	418237	1018189	344346	53396	309733	1051458	800181	29708	436994	409034	451321	28816	378301	2906	145014	594244	406030	409468
"3-Hydroxyphenylacetic acid"	2751400	456640	2452747	2716521	936472	3520968	1621054	1018803	1700986	2641122	392054	1114775	3576129	500911	1942793	6370131	2526216	5824042	1304134	918184	3581506	987994	6986656	1610548	2261090	881452	1245773	3107729	4851468	1210238	2213068	397724	2008678	752151	1374397	5766285	3566054	324557	1941773	1618477	2161086	922787	1962507	1583311	2041124	60613	301102	967632	558638	759523	1267310	1646830	88912	236527	2153695	531841	4552387	2076422	1468786	383656	920665	1136324	2343589	2754251	2809134	1297252	214998	1121778	1876021	60657	1200199	527243	708627	833396	621644	574567	405180	990773	1434862	1015162	759321	317000	1719506	909692	341854	338359	270358	397026	881709	383105	433609	102358	1228256	1401757	2172130	749142	611977	966962	400614	361589	556584	588785	2256242	623258	3728543	5271810	2396071	9589731	5114332	980903	4150829	31072	593696	1881520	3546584	4217005	1971560	3884824	9657866	4530178	1402006	3635446	3074964	3248352	1352072	7480839	512684	11155460	12682407	1675744	478909	916605	2614207	2990150	723349	2298819	1304874	2646610	4645701	1226585	358662	2008421	3038019	1348614	2687620	843385	1453715	898170	7128463	1363450	8420472	1421312	2814699	2482355	699541	1473779	1709188	1380690	325067	337051	1819782	698009	3424228	2146596	176414	2969708	1196100	781640	761994	2162716	3141233	2643394	1688375	1037309	1082009	948821	644108	296384	1491277	4266847	376457	3953926	1609610	1122880	591212	2149989	2065993	149791	2075448	568954	1977753	2892161	1233190	818414	1106932	296057	1800273	2704726	842085	799040	750455	772005	1177812	243149	1124326	1157891	1921771	779319	406666	769630
"3-Indole carboxylic acid glucuronide"	1255569	1593262	181881	3304786	4251984	1891565	542323	2939942	1324048	2809814	1650501	1239961	2564396	632719	2114062	149125	3386967	4549408	2841023	632239	941076	1977195	147294	2345869	3415463	1036971	2549375	838189	364363	556842	69488	3230362	3654173	2265173	5157575	224474	2638281	2818969	2706453	707003	997840	3084731	3748583	4195242	227738	1230150	7829862	2697860	316914	849334	2281108	3454630	1287218	1139646	3011036	2464258	3263563	3014712	3088976	1728958	2298731	2359459	3638209	3599168	2012485	2988302	2621175	1678802	114475	556605	3091339	3064853	1426229	2805594	1284354	1237572	1951988	1116235	806475	2613144	659205	895480	1179465	2479116	2713675	893426	1214483	1190711	2483933	1441678	787538	459178	2657416	1935287	59476	2200518	1670034	2163698	2446648	971613	1009283	514861	1558786	1699201	4821103	2435403	2318732	4245753	3748189	4349935	4689943	607.5	2451934	3331274	4202823	1370470	1761558	1754097	2700769	426851	1421552	3508482	1312895	3480628	153921	640917	4404841	2251667	4439211	3342751	1543974	1098969	858681	3440833	6434298	1877831	602319	195656	151869	2383960	2486404	2254876	1908070	705181	2902467	1052946	1271786	2219297	1805955	3250971	1844215	495613	1812866	3086559	1835313	2882274	3433802	2034058	3943305	1112063	3043290	3146250	1149854	3119954	1959167	2538248	931529	1334514	2458891	2782916	4005410	3855724	3184232	2002086	1822977	1588408	519939	3609550	2113979	4260220	7162992	2063593	3128563	2511623	3723824	3208944	3304203	292819	5146262	2436561	2378318	2980413	2487889	2835818	1141876	1331599	2511176	2512983	2690201	1226346	2457264	1783679	2374533	578362	1931922	7306894	751094	2056881	2013244	1986099
"3-Methyl-2-oxovaleric acid"	2948903	741333	3330260	1467907	5422911	596079	4384115	1173534	1349596	2984642	1860456	510191	3515454	220228	702972	1166617	2941674	1502075	3899285	1579709	2590225	326084	2495617	1014553	2828619	160637	5983678	1547054	2697228	1860398	2004553	5223719	2851942	634888	3079623	4773843	2888901	2950947	3555647	5201645	1539929	2131080	2851309	4207692	3400014	448002	2006199	766111	144150	518018	459294	2519506	1987452	672124	3154622	1189366	1520068	3274985	2275382	1189591	1666103	1719836	3604321	5107511	1765113	2104620	4306452	3307667	991900	359282	1927661	1527085	1401445	448834	850749	399721	4789849	1477165	1145474	1743869	1130114	165638	1228680	3466346	2827096	1475972	213346	442812	1458565	2364013	110799	162761	4238666	1348835	1962657	1236970	836673	1123314	1405490	1203941	240547	362314	1005109	1034005	3845845	1125035	3713026	4269132	6333108	5776736	8166664	607.5	4171324	7988966	3714898	2876103	3849785	2430197	5422776	4662180	957971	4677780	2992946	3762550	1969501	1716169	6312832	4616472	5606941	3117587	346932	60487	10814109	3864794	4470255	1102389	5587587	4534492	3512890	3328218	1802985	1680743	2781704	8525375	3682738	3099285	1746654	788594	7427151	554576	6269287	5357	1140956	3709283	3307003	2315279	5493432	3053170	6192947	1432019	1076046	1464520	4824344	3147257	1994147	4573157	2230984	991725	1315331	4629949	2133538	3895081	2562451	1401708	1399516	3477358	648304	3496616	3434817	3068024	2848307	2263251	2740585	1773213	5880906	3627568	4706634	319862	3713057	1596358	2055649	3499900	2304312	2797584	1688276	967096	1358564	1437973	2728284	153100	1214379	1735479	2046537	783838	2422950	2074712	174935	841044	3060876	2031300
"3-Methylcrotonylglycine"	3253005	912042	2748400	1147860	2010881	888470	4601958	5063078	1662471	3388645	1240139	793240	1584764	952675	1823090	4418991	2982688	1339706	1854937	866898	1900612	1773765	3248812	1719566	2974193	1146096	3429783	3015876	3739247	3470060	5499089	2093068	2968397	4075663	4049839	4428414	3724852	3302782	3217728	3054623	402584	1728634	3251244	3124645	3087533	1156098	2268719	2659348	503849	480545	731894	2503346	385520	1130733	4297838	2242381	3929611	1662315	2439010	641363	963813	2479327	5616442	2288178	4840466	2306931	4465619	1031002	2677426	444501	2086243	4845442	891735	996057	2402327	1385477	1679519	3814815	614331	1924442	2057708	1020835	1517204	3198789	2385331	1485441	630764	1517370	1749653	1600960	1166449	712101	2201423	2790745	4215579	1541717	2534064	1439451	518788	931784	2027717	681568	1787864	1273349	5358981	1852069	2817716	13425015	6947343	9222617	9099809	607.5	2007588	7787991	5015511	2251853	8420137	3275473	1831063	1018399	1118722	4098937	5116422	4752971	7501400	3802804	3861141	4796229	8889990	4018242	1056423	1778148	8605488	4674493	11002636	1309019	3295768	4003774	7986281	3554994	1607508	2115776	4253223	12066534	4281759	1970354	2927447	2831393	6021370	1974441	807466	651417	2493515	4180516	3116490	2176577	4888627	2196961	8476471	2528441	3630897	4682288	2689475	3796573	1696309	2923614	616268	2459265	4009301	7179730	3180600	4284691	3426119	6686427	2717812	4102734	4042429	1710961	1394798	8008701	1179149	3868258	3241222	5200014	2987295	6798742	3795870	516069	7273064	2569684	4363849	3392370	2862745	2413851	3631103	730630	2997575	2888571	2034137	894761	2900228	1749975	2510749	1092769	1391664	2705004	968069	2659929	1570759	2120155
"4-Acetamidobutanoic acid isomer 2"	6267145	1140322	11538917	2117950	3521911	1755910	6691433	1878224	2436926	6206487	2025577	1437379	10147574	577567	2190781	8932412	6299535	6137025	6407345	668825	4771939	2221446	9132406	3313575	5915142	1037881	7755024	9597728	8957876	6048398	8642852	6907982	6034691	3921321	8800545	18061018	8106506	5181061	6142885	4896057	1327762	4972237	5882775	6233648	8876747	1933379	2953800	4739466	403760	706206	1615313	5213294	3937524	2057716	5401891	4410913	5072744	5317569	4632302	3580613	3864665	8176530	4161296	6159893	7804440	4491898	4863431	3182121	7053013	1269915	4011909	5786934	1626501	2811794	3744811	1282608	5048949	3899484	1386223	3518277	2898130	896594	2609991	4188328	3421560	1674689	658122	1140106	3159503	2271117	616203	770991	4619291	4360200	4713021	2928614	2538257	3278485	3767549	4155116	1658063	644520	3095221	2516818	16032278	14936988	8033606	12588739	15513840	26462423	27143962	18829	9970907	23846414	16510821	16842315	11790038	7304590	17486391	20755862	4460837	14246803	27477125	16220853	27768410	8554938	17186780	56208841	22324609	14058372	3167035	3015384	21081827	14697234	29010089	6206646	20865107	26003200	22833177	8418608	12391544	7250829	19366320	21105604	13827437	12035630	13395311	8450688	20293343	11361602	15299578	1366191	4289310	13598987	11425397	20310595	19715917	8236349	7852032	4755976	8385880	15186902	11243022	12462786	10369892	6611827	1781915	2988499	4246851	13094738	15792917	12059370	10484953	14363177	5567819	16525838	1939040	10475011	14302713	17962839	14881974	17317964	10855788	12224283	7722189	13580469	18832254	994413	14438127	9533519	9015535	14704865	8708281	10293424	8708380	3281132	11166962	10104254	9161854	3602659	9122643	8001536	8105192	2534757	6099879	5273866	2462544	10053531	4359819	6470875
"4-Acetamidobutanoic acid isomer 3"	1588831	226327	1837942	715324	658364	185806	2264281	2502955	671972	1627266	425897	423527	934417	389623	930284	3807680	1763237	1952215	920555	355628	1357754	364760	2509231	998726	1511579	411346	1816332	1395792	2316554	3887262	3133050	678131	1541645	1237277	2231410	2675687	1877348	704139	2063395	1441073	319174	741385	1473822	1594279	2220372	286862	1130489	803339	166233	99223	266256	1316384	696087	334467	2568072	729788	1050805	787788	1165355	347444	764651	1339799	3135587	949932	1607968	1330523	1006024	753263	3047641	239451	1140087	3731795	450345	780013	1473829	691586	1067518	3923879	316366	926646	638967	641370	706335	1266244	1180936	1076842	310342	605160	905649	2505985	481913	212174	1798491	2842477	2828002	833464	1204504	991475	433328	354397	1834871	264699	999308	667804	4604239	1480158	748805	13999568	6006627	3662509	5207024	3823	1183383	2000660	4202211	3228241	4177390	2958747	1362676	5028201	530152	3454784	4523323	4049546	12046491	1844607	5832995	2597793	7415702	1990117	755147	1571123	6764574	3877167	13468473	1184323	2097410	4014463	8825706	4501006	994023	1260526	2735667	6916403	3784603	1026110	1293773	1872377	3528525	1784286	1211795	343526	1402745	3304306	2841948	2021501	4695037	1505070	4519839	736794	1282724	2990922	2367859	3108800	1628786	1869765	551801	1743444	3792041	6887103	2886252	4054228	3012004	3960451	1379595	2224271	2402140	770706	2745879	6698651	1266929	858261	2739607	4974371	3178671	6975447	4855873	366738	6848155	1829657	3109782	2509516	2369553	612533	4833219	797057	2821520	3120072	1430257	1446108	2568798	3832649	2213224	324820	517627	1785816	1750448	2640988	1466110	1824761
"4-Hydroxybenzoic acid"	214463	62193	538822	94601	143955	94000	348038	105566	82189	248300	157183	90389	276236	29627	87760	426647	256989	150614	154527	7414	514863	32882	223823	116217	263176	28280	113105	182741	371479	66860	281408	311611	236521	128809	190518	407006	694756	229935	112017	139269	301026	196519	214132	337518	114233	64096	101118	21715	57395	49574	133064	187350	93917	79872	183150	109753	77798	483045	218646	179924	161269	287568	176818	143355	206220	167038	109435	1093325	156077	34455	149937	128741	419010	69797	230845	57120	397980	354703	70785	143663	78740	32581	58613	99466	275694	109728	34715	76091	131875	151853	38191	36569	145625	158327	1145051	109452	88771	198994	188569	93508	121269	49140	331335	94015	337451	239138	131693	354044	105480	376839	143451	607.5	262542	93041	334301	155344	198194	88103	200856	87315	135981	371674	341599	283841	439703	513935	972532	461574	180250	91705	192104	223480	445509	261418	169971	286471	239314	112895	262893	159132	165484	183936	256519	210371	182599	270423	69419	115027	231044	203461	116551	128766	429241	202459	91145	69469	229878	162068	294390	154594	71607	48019	286453	168071	215128	168717	48520	186837	208748	204031	108586	145761	157936	128718	67016	142263	157301	78271	824554	232236	75552	306409	174743	106881	280654	222574	277808	22251	542255	78048	156431	663504	137845	173891	142710	785999	303568	13250	136592	607.5	305324	69648	110489	82416	43667	214303	607.5	607.5	131275	90987
"4-Methylhippuric acid/3-Methylhippuric acid"	1085998	81251	1061609	60876	289143	55678	207846	283921	2613225	1049073	1510229	418326	299582	58996	361639	240732	1157765	1086881	572171	10800	456758	623621	2006260	170112	1073119	23920	247658	446148	247029	127110	287098	531373	1117404	1796247	1077166	5574104	1773534	245446	1055247	2740685	174889	215369	1020754	1009447	2311798	153802	389262	5332074	65087	23080	61160	927536	113812	115113	70385	214236	1895851	225119	841472	158685	6474747	192966	1102634	360934	110826	747492	6169124	1864606	409903	1252318	829619	197486	353523	56251	242506	87024	467187	313255	716548	748530	901942	51720	132694	466054	850366	158663	57286	124451	618288	2324627	464350	77586	3477904	127254	258218	597654	648123	148867	500897	1516544	116304	56924	264870	499520	1693955	1350873	441101	720164	205935	6232540	292240	607.5	2042354	5111194	1630747	654773	260235	113852	7998652	558252	56627	567235	440472	1671518	2389553	141667	355907	858457	5155501	6753638	132280	126598	390440	1584203	376822	278355	2702321	4279904	474124	3061113	1149061	833752	596788	300727	1512845	7405588	286513	277951	3431522	275429	1883533	28342	341775	1533530	4371896	177208	173557	159672	4237446	324497	218223	1947969	356170	1408813	5443380	4005638	322129	49382	453013	625480	234390	420681	1184368	808147	160182	3202563	496884	255037	396557	657502	855069	539843	1164728	313711	137639	129363	161389	23776	1161919	3140284	1858027	273246	961528	235786	3356118	309929	2764411	707041	408679	284508	833686	5891318	956502	330301	139520	261747	3233346	152027	84497	444352
